Name,Lat,Long,Category
ENDEAVOR REG / NORDSTROM L2 #2,30.40157,-97.719909,ElecCarCharging
AVIATION / 4TH FLOOR,30.204614,-97.669503,ElecCarCharging
300W / 300 W 6TH,30.271337,-97.746036,ElecCarCharging
ST. JOHNS WEST / JOHNS E,30.3378,-97.714764,ElecCarCharging
WEINSTEIN / WHITESTONE 1,30.471863,-97.796031,ElecCarCharging
HANOVER / L6,30.265239,-97.74912,ElecCarCharging
PIE AE / PUBACCSVSCTRST2,30.338568,-97.66223,ElecCarCharging
SAS / SAMSUNG 5,30.377397,-97.639766,ElecCarCharging
COA / TWIN OAKS #1,30.248932,-97.762283,ElecCarCharging
GALLERIA OAKS / GALLERIA OAKS 1,30.313121,-97.946493,ElecCarCharging
PIE AE / HEB 6EA1,30.29923,-97.721107,ElecCarCharging
SAS / STATION 2,30.377879,-97.639587,ElecCarCharging
PIE AE / PUB DELL2,30.302551,-97.707079,ElecCarCharging
COA FLEET - PIE / FLOOR 4,30.269044,-97.73428,ElecCarCharging
TR DOMAIN 11 / STATION 1,30.405714,-97.71939,ElecCarCharging
PIE AE / OTC 3FL PKGSTA1,30.256815,-97.748988,ElecCarCharging
BV LAKEWAY / STATION1,30.35822,-97.958301,ElecCarCharging
PENNYBACKER / AQUILA BRDG PT1,30.355378,-97.802874,ElecCarCharging
REPUBLICSQUARE / GABLES REPUB2,30.26679,-97.74565,ElecCarCharging
PIE AE / PUBACCSOAUSTIN2,30.216052,-97.796295,ElecCarCharging
1500 ROYAL / ELEMENT AUSTIN,30.240527,-97.730373,ElecCarCharging
PIE AE / OTC 3FL PKGSTA3,30.256917,-97.749169,ElecCarCharging
ENDEAVOR REG / 901 E 6TH ST 5,30.265144,-97.733277,ElecCarCharging
MONOGRAM / PARKING 2-3,30.270562,-97.748959,ElecCarCharging
BRANDYWINE AUST / FOUR POINTS 01,30.404059,-97.850068,ElecCarCharging
GIBSON FLATS / STATION 2,30.254054,-97.761959,ElecCarCharging
PIE AE / PALMER STATION8,30.259864,-97.752661,ElecCarCharging
PIE AE / RUTHERFORDCAMP1,30.337138,-97.680658,ElecCarCharging
RIALTO / STATION1,30.254075,-97.870716,ElecCarCharging
PIE AE / PUBDENNYSNORTH2,30.276571,-97.729718,ElecCarCharging
REPUBLICSQUARE / GABLES REPUB3,30.266573,-97.74553,ElecCarCharging
HPI 3700 / 3900 SC 4,30.337935,-97.808041,ElecCarCharging
HANOVER / L2,30.265147,-97.749142,ElecCarCharging
DOMAIN / RIGHT STATION,30.401174,-97.719445,ElecCarCharging
PIE AE / MILWOOD LIB 2,30.422284,-97.71646,ElecCarCharging
HPI 3700 / 3900 SC #1,30.337898,-97.807867,ElecCarCharging
ENDEAVOR REG / LEVEL 4 - #1,30.317777,-97.754969,ElecCarCharging
PIE-CAPRIDGE / #1,30.304182,-97.828161,ElecCarCharging
COA FLEET - PIE / ROOF6,30.268866,-97.734612,ElecCarCharging
